,Toll Date,Toll Hour,Toll 10 Minute Block,Minute of Hour,Hour of Day,Day of Week Int,Day of Week,Toll Week,Time Period,Vehicle Class,Detection Group,Detection Region,CRZ Entries,Excluded Roadway Entries
75,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Queensboro Bridge,Queens,72,0
76,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Queens Midtown Tunnel,Queens,138,0
77,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Lincoln Tunnel,New Jersey,96,0
78,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Holland Tunnel,New Jersey,106,0
79,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,FDR Drive at 60th St,FDR Drive,185,61
80,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,East 60th St,East 60th St,365,0
81,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Williamsburg Bridge,Brooklyn,169,0
82,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Manhattan Bridge,Brooklyn,80,0
83,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Hugh L. Carey Tunnel,Brooklyn,46,10
84,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,TLC Taxi/FHV,Brooklyn Bridge,Brooklyn,119,32
85,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,West Side Highway at 60th St,West Side Highway,0,0
86,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,West 60th St,West 60th St,3,0
87,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Queensboro Bridge,Queens,0,0
88,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Queens Midtown Tunnel,Queens,0,0
89,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Lincoln Tunnel,New Jersey,2,0
90,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Holland Tunnel,New Jersey,0,0
91,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,FDR Drive at 60th St,FDR Drive,1,0
92,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,East 60th St,East 60th St,7,0
93,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Williamsburg Bridge,Brooklyn,0,0
94,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Manhattan Bridge,Brooklyn,0,0
95,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Hugh L. Carey Tunnel,Brooklyn,0,0
96,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,5 - Motorcycles,Brooklyn Bridge,Brooklyn,0,0
97,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,4 - Buses,West Side Highway at 60th St,West Side Highway,4,0
98,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,4 - Buses,West 60th St,West 60th St,7,0
99,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:40:00 PM,40,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Queensboro Bridge,Queens,1,0
